marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Cancer Antigen 15-3 (CA 15-3)","ca-15-3","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","178","","Cancer antigen 15-3, a protein shed from the surface of some cells. It is used to follow the course of breast cancer that has already been diagnosed rather than to screen for it.","","",""
"Cancer Antigen 19-9 (CA 19-9)","ca-19-9","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","213","","Cancer antigen 19-9, a carbohydrate marker used mainly in pancreatic and biliary disease. It is used to follow known disease rather than to screen for it, and a small proportion of people do not produce it at all.","","",""
"Capers (IgG)","capers-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Capers in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Capers.","","",""
"Cardiovascular Risk Score","cv-risk-score","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","280","","A calculated percentage estimating the likelihood of a cardiovascular event over a defined period, combining several measurements with age and other details. Scores of this kind describe averages across large groups of people and do not predict what will happen to any one person.","","",""
"Carob (IgG)","carob-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Carob in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Carob.","","",""
"Carp (IgG)","carp-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Carp in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Carp.","","",""
"Carrot (IgG)","carrot-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Carrot in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Carrot.","","",""
"Casein (IgG)","casein-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Casein in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Casein.","","",""
"Cashew Nut (IgG)","cashew-nut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Cashew Nut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cashew Nut.","","",""
"Cauliflower (IgG)","cauliflower-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Cauliflower in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cauliflower.","","",""
"Caviar (IgG)","caviar-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Caviar in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Caviar.","","",""
"Cayenne (IgG)","cayenne-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Cayenne in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cayenne.","","",""
"Celery (IgG)","celery-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Celery in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Celery.","","",""
"Chard (IgG)","chard-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Chard in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chard.","","",""
"Cherry (IgG)","cherry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Cherry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cherry.","","",""
"Chestnut (IgG)","chestnut-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Chestnut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chestnut.","","",""
"Chicken (IgG)","chicken-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Chicken in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chicken.","","",""
"Chickpea (IgG)","chickpea-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Chickpea in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chickpea.","","",""
"Chicory (IgG)","chicory-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Chicory in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chicory.","","",""
"Chilli (Red) (IgG)","chilli-red-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Chilli (Red) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Chilli (Red).","","",""
